"filename", "language", "Markdown", "Properties", "XML", "JavaScript", "JSON", "HTML", "JavaScript React", "comment", "blank", "total"
"d:\Web Projects\UniversalServiceBook\client\src\pages\Mails.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 148, 0, 18, 166
"d:\Web Projects\UniversalServiceBook\client\src\pages\MechanicWorkshop.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 218, 4, 29, 251
"d:\Web Projects\UniversalServiceBook\client\src\pages\OwnerPage.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 17, 0, 7, 24
"d:\Web Projects\UniversalServiceBook\client\src\pages\Registration.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 95, 0, 12, 107
"d:\Web Projects\UniversalServiceBook\client\src\pages\Settings.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 222, 145, 37, 404
"d:\Web Projects\UniversalServiceBook\client\src\pages\Unauthorized.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 19, 0, 4, 23
"d:\Web Projects\UniversalServiceBook\client\src\themes\theme.js", "JavaScript", 0, 0, 0, 114, 0, 0, 0, 5, 3, 122
"d:\Web Projects\UniversalServiceBook\server\controllers\AuthController.js", "JavaScript", 0, 0, 0, 102, 0, 0, 0, 0, 15, 117
"d:\Web Projects\UniversalServiceBook\server\controllers\UserController.js", "JavaScript", 0, 0, 0, 112, 0, 0, 0, 0, 14, 126
"d:\Web Projects\UniversalServiceBook\server\controllers\VehicleController.js", "JavaScript", 0, 0, 0, 289, 0, 0, 0, 0, 36, 325
"d:\Web Projects\UniversalServiceBook\server\controllers\VehicleParameterController.js", "JavaScript", 0, 0, 0, 283, 0, 0, 0, 15, 32, 330
"d:\Web Projects\UniversalServiceBook\server\controllers\WorkshopController.js", "JavaScript", 0, 0, 0, 347, 0, 0, 0, 4, 48, 399
"d:\Web Projects\UniversalServiceBook\server\core\Auth.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 1, 2, 28
"d:\Web Projects\UniversalServiceBook\server\core\FilesManagment.js", "JavaScript", 0, 0, 0, 139, 0, 0, 0, 0, 14, 153
"d:\Web Projects\UniversalServiceBook\server\core\MailViews.js", "JavaScript", 0, 0, 0, 148, 0, 0, 0, 0, 4, 152
"d:\Web Projects\UniversalServiceBook\server\core\Mailer.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"d:\Web Projects\UniversalServiceBook\server\core\Role.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\Web Projects\UniversalServiceBook\server\models\DesignTypeModel.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"d:\Web Projects\UniversalServiceBook\server\models\DriveTypeModel.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"d:\Web Projects\UniversalServiceBook\server\models\FuelModel.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"d:\Web Projects\UniversalServiceBook\server\models\ManufactureModel.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"d:\Web Projects\UniversalServiceBook\server\models\ModelModel.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"d:\Web Projects\UniversalServiceBook\server\models\PictureModel.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"d:\Web Projects\UniversalServiceBook\server\models\ServiceEntryModel.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 8, 73
"d:\Web Projects\UniversalServiceBook\server\models\TransmissionModel.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"d:\Web Projects\UniversalServiceBook\server\models\UserModel.js", "JavaScript", 0, 0, 0, 71, 0, 0, 0, 0, 4, 75
"d:\Web Projects\UniversalServiceBook\server\models\VehicleModel.js", "JavaScript", 0, 0, 0, 170, 0, 0, 0, 0, 4, 174
"d:\Web Projects\UniversalServiceBook\server\models\VehicleTypeModel.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"d:\Web Projects\UniversalServiceBook\server\models\WorkShopModel.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 0, 5, 73
"d:\Web Projects\UniversalServiceBook\server\package-lock.json", "JSON", 0, 0, 0, 0, 4133, 0, 0, 0, 1, 4134
"d:\Web Projects\UniversalServiceBook\server\package.json", "JSON", 0, 0, 0, 0, 30, 0, 0, 0, 1, 31
"d:\Web Projects\UniversalServiceBook\server\routes\routes.js", "JavaScript", 0, 0, 0, 66, 0, 0, 0, 6, 11, 83
"d:\Web Projects\UniversalServiceBook\server\server.js", "JavaScript", 0, 0, 0, 71, 0, 0, 0, 11, 5, 87
"Total", "-", 10, 8, 48, 2559, 34695, 30, 3987, 301, 773, 42411
